Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. et Mme Baptiste et Florie BONHOMME;;M. et Mme Baptiste et Florie BONHOMME;;;;;;Numéro;25436
;50 rue claude Bernard;;7 allée du Courtil;;;;;;Date de création;23/05/2025
;35000 RENNES;; 35132 vezin le coquet;;;;;;Date de validité;22/06/2025
;France;;France;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Devis fenetre de toit;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;3x;FENETRE DE TOIT;;;;;;;;
;;;;;;;;;;
;;Non compris étanchéité à l'air (frein-vapeur au lot placo);;;;;;;;
;;"Vélux SDB: au vu de la proximité de la noue, une pose ""traditionnelle"" est envisagée. Pose encastrée sur les autres chassis.";;;;;;;;
;;Coordination à prévoir avec le lot charpente pour la pose des vélux au dessus de l'escalier et les combles (accès et sécurité);;;;;;;;
;;;;;;;;;;
;1.3 016;Dépose Fenêtre de toit et nettoyage.;48;1.3;62.4;3;U;;5.5;187.2
;MO1;"MAIN D'OEUVRE 
";48;1.3;62.4;3;H;;5.5;187.2
;1.4 001;Evacuation de déchets, compris location de benne et traitement: GRAVATS (ardoises, tuiles, béton...);161.15;1.3;209.5;0.15;T;;5.5;31.43
;MO1;"MAIN D'OEUVRE 
";48;1.3;62.4;0.3;H;;5.5;18.72
;DECHET001;EVAC GRAVATS BENNE (ardoises, béton, carrelage);15.85;1.3;20.61;0.15;T;;5.5;3.09
;DECHET008;DEPOT, ROTATION, RETRAIT camion multi-benne, L'unité;98.6;1.3;128.18;0.075;U;;5.5;9.61
;1.4 002;Evacuation de déchets, compris location de benne et traitement: DIB mélangés. Compris TGAP taxe générale sur les activités polluantes.;254;1.3;330.2;0.2;T;;5.5;66.04
;MO1;"MAIN D'OEUVRE 
";48;1.3;62.4;0.2;H;;5.5;12.48
;DECHET004;EVAC DECHETS BENNES DIB;154;1.3;200.2;0.2;T;;5.5;40.04
;DECHET007;TGAP taxe générale sur les activités polluantes;52;1.3;67.6;0.2;T;;5.5;13.52
;1.6 001;Nettoyage en fin de chantier comprenant le ramassage et la sortie des déchets et emballages;96;1.3;124.8;1;F;;5.5;124.8
