Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. Herve DUPONCEL;;M. Herve DUPONCEL;;;;;;Numéro;24349
;45 rue de la Gressaudière;;45 rue de la Gressaudière;;;;;;Date de création;24/12/2024
;35170 Bruz;;35170 Bruz;;;;;;Date de validité;23/01/2025
;;;;;;;;;;
;Menuiseries extérieures;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;6x;MENUISERIES EXTERIEURES;;;;;;;;
;;;;;;;;;;
;;Changement de 60% des menuiseries existantes;;;;;;;;
;;Branchement électrique hors lot;;;;;;;;
;;;;;;;;;;
;4.2 009;Bavette étanchéité / raccord menuiserie zinc QUARTZ ép. 07 mm. Longueur max = 3m, dvp max 330 mm.;66.12;1.3;85.96;6;ML;;5.5;515.76
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;6;H;;5.5;356.46
;UMI220022623;FEUILLE ZINC QUARTZ 100X200X0,70        PALETTE DE 50 U NOUS CONSULTER;81.6883;1.3;106.19;1.5;UN;;5.5;159.29
;5.1 010;Pose de bande de pare-pluie sur menuiseries extérieures (en attente de raccordement par le lot ITE Mur).;70.64;1.3;91.84;6;U;;5.5;551.04
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;9;H;;5.5;534.69
;21600132;TESCON VANA 60MMX30,00ML                ADHESIF USAGE INTERIEUR/EXTERIEUR       -12 % CARTON DE 20;20.9324;1.3;27.21;0.6;UN;;5.5;16.33
;;;;;;;;;;
