Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. et Mme LAURA FOUQUERE ET CYRIL OLLIVIER;;M. et Mme LAURA FOUQUERE ET CYRIL OLLIVIER;;;;;;Numéro;25383
;9 rue de la boulais;;9 rue de la boulais;;;;;;Date de création;13/02/2025
;35000 RENNES;;35000 RENNES;;;;;;Date de validité;12/03/2025
;;;;;;;;;;
;Devis récap;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;;Au lot maçonnerie, un chainage périphérique;;;;;;;;
;;Dépose placo et isolation hors lot.;;;;;;;;
;1x;OUVRAGES COMMUNS;;;;;;;;
;;;;;;;;;;
;1.1 002;PLANS D'EXECUTION;548.4;1.3;712.92;1;F;;20;712.92
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;12;H;;20;712.92
;1.2 002;Montage et démontage d'échafaudage pour temps du chantier. Compris toute sujétions de sécurité;1379.6;1.293;1783.48;1;F;;20;1783.48
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;28;H;;20;1663.48
;MAT001;Echafaudage COMABI R200;100;1.2;120;1;F;;20;120
;1.2 008;Isolation fils électriques par ENEDIS.;320;1.2;384;1;U;;20;384
;ENEDIS;ISOLATION ENEDIS;320;1.2;384;1;F;;20;384
;1.2 009;Occupation du domaine public. Stationnement de véhicule (forfait 10m²), pose d'échafaudage....;8.4;1.19;10;60;FORFAIT JOUR;;20;600
;DOMAINE;Occupation du domaine public, zone générale;0.42;1.19;0.5;1200;M2/J;;20;600
;1.2 011;Forfait Journée de stationnement;3;1.2;3.6;60;F;;20;216
;DOMAINE5;Forfait journée stationnement;3;1.2;3.6;60;F;;20;216
;1.3 001;Dépose couverture ardoises;9.14;1.3;11.88;78;M2;;20;926.64
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;15.6;H;;20;926.8
;1.3 001;Dépose couverture zinc;6.86;1.299;8.91;25;M2;;20;222.75
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;3.75;H;;20;222.79
;1.3 003;Dépose Charpente.;548.4;1.3;712.92;1;F;;20;712.92
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;12;H;;20;712.92
;1.3 010;Démolition de murs maçonnés extension parpaing;36.56;1.3;47.53;16.5;M2;;20;784.25
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;13.2;H;;20;784.21
;1.3 010;"Démolition de murs maçonnés extension pierre
Compris mur de refend intérieur";68.55;1.3;89.12;17;M2;;20;1515.04
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;25.5;H;;20;1514.96
