Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. et Mme CABON GUIDAL;;M. et Mme CABON GUIDAL;;;;;;Numéro;25401
;8 rue Saint Exupéry;;8 rue Saint Exupéry;;;;;;Date de création;04/03/2025
;35136 SAINT JACQUES DE LA LANDE;;35136 SAINT JACQUES DE LA LANDE;;;;;;Date de validité;03/04/2025
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;1x;OUVRAGES COMMUNS;;;;;;;;
;;;;;;;;;;
;1.1 002;PLANS D'EXECUTION;246.09;1.3;319.92;1;F;;20;319.92
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;5.385;H;;20;319.92
;1.2 002;Montage et démontage d'échafaudage pour temps du chantier. Compris toute sujétions de sécurité;510.16;1.29;658.2;1;F;;20;658.2
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;8.975;H;;20;533.2
;MAT001;Echafaudage COMABI R200;100;1.25;125;1;F;;20;125
;1.4 004;Evacuation des gravats, location de benne à notre atelier et traitement des déchets: BOIS B;188.33;1.261;237.5;0.3;T;;20;71.25
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;0.269;H;;20;15.98
;DECHET002;EVAC DECHETS BENNE (BOIS);98;1.25;122.5;0.3;T;;20;36.75
;DECHET008;DEPOT, ROTATION, RETRAIT camion multi-benne, L'unité;98.6;1.25;123.25;0.15;U;;20;18.49
;1.4 005;Evacuation des gravats, location et rotation de benne à notre atelier et traitement: DIB mélangés. Compris TGAP taxe générale sur les activités polluantes.;296.35;1.257;372.5;0.2;T;;20;74.5
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;0.18;H;;20;10.69
;DECHET004;EVAC DECHETS BENNES DIB;154;1.25;192.5;0.2;T;;20;38.5
;DECHET007;TGAP taxe générale sur les activités polluantes;52;1.25;65;0.2;T;;20;13
;DECHET008;DEPOT, ROTATION, RETRAIT camion multi-benne, L'unité;98.6;1.25;123.25;0.1;U;;20;12.33
;1.6 001;Nettoyage en fin de chantier comprenant le ramassage et la sortie des déchets et emballages;164.02;1.3;213.22;1;F;;20;213.22
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;3.589;H;;20;213.22
;;;;;;;;;;
;;Sous total :;;;;;;;;1337.09
;;;;;;;;;;
;2x;MOB-CHARPENTE;;;;;;;;
;;;;;;;;;;
;;MOB;;;;;;;;
;2.2 001;"Fourniture et pose lisse basse 45 x 145 traité Cl 4. Bande d'arase; Fixation par goujon d'ancrage M10x145/65-55 MT. (Maçonnerie 21 jours)";17.02;1.274;21.69;9.2;ML;;20;199.55
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;1.656;H;;20;98.38
;22590200;SCIAGE RAB 4F TAC CL4 45X145X4800;3.9;1.251;4.88;11.04;ML;;20;53.88
;21600017;BANDE  ARASE DELTA  DPC500 20CM X 50ML;23.1278;1.25;28.91;0.276;UN;;20;7.98
;OR00243973;GOUJON ANCRAGE WA M10-143/70 ZING       BTE/50 OPT°7                            PAGE 134 DU CATALOGUE;39.4618;1.25;49.33;0.46;UN;;20;22.69
;Q001;Forfait Quincaillerie;1.45;1.248;1.81;9.2;F;;20;16.65
;2.2 003;Montant 45 x 145  fixé par scellement chimique. Ancrage sur bâtiment existant.;33.05;1.281;42.34;6;ML;;20;254.04
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;2.694;H;;20;160.05
;22590009;OSSATURE EPICEA SEC/RAB 45X145X6000     REMISE 11% A LA PAL DE 112  UTES        TRAITE CLASSE2 INCOLORE;3.1;1.252;3.88;7.2;ML;;20;27.94
