Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. et Mme CANTO ORY;;M. et Mme CANTO ORY;;;;;;Numéro;25385
;6 Chemin du Petit Pont;;6 Chemin du Petit Pont;;;;;;Date de création;13/02/2025
;35630 LANGOUET;;35630 LANGOUET;;;;;;Date de validité;12/03/2025
;;;;;;;;;;
;Bardage;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;;Suite aux constations de détérioration du pare-pluie derrière le bardage à claire-voie, proposition de changement complet du bardage et pose de pare-pluie.;;;;;;;;
;;;;;;;;;;
;;"Proposition 1

Changement de l'ensemble du bardage de la maison";;;;;;;;
;;;;;;;;;;
;1x;1. OUVRAGES COMMUNS;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;1.2 002;Montage et démontage d'échafaudage pour temps du chantier. Compris toute sujétions de sécurité.;562;2.451;1377.4;1;F;;10;1377.4
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;21;H;;10;1247.4
;MAT001;Echafaudage COMABI R200;100;1.3;130;1;F;;10;130
;;Accord du voisin nécessaire.;;;;;;;;
;1.6 001;Nettoyage en fin de chantier comprenant le ramassage et la sortie des déchets et emballages;88;2.7;237.6;1;F;;10;237.6
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;4;H;;10;237.6
;;;;;;;;;;
;;;;;;;;;;
;;1.2 Déposes;;;;;;;;
;;;;;;;;;;
;1.3 006;Dépose de bardage;6.6;2.7;17.82;117.5;M2;;10;2093.85
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;35.25;H;;10;2093.85
;1.3 014;Dépose des tableaux de menuiseires;4.4;2.7;11.88;27.5;ML;;10;326.7
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;5.5;H;;10;326.7
;0.0 000A;Déposes contrelattes et pare-pluie;2.2;2.7;5.94;117.5;M2;;10;697.95
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;11.75;H;;10;697.95
;0.0 000B;Dépose et repose des lames de terrasse. ;639.8;1.3;831.74;1;F;;20;831.74
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;14;H;;20;831.74
;;;;;;;;;;
;;1.3 Evacuation et traitement des déchets;;;;;;;;
;;;;;;;;;;
;;La collecte et le traitement des déchets de chantier est assuré par l'entreprise DELAIRE, société de collecte, traitement et recyclage de déchets, ZA Les Mottais, Champ de la Croix, 35230 Saint-Armel.;;;;;;;;
;;Gestion, évacuation et traitements des déchets de chantier comprenant la main d'oeuvre liée à la dépose et au tri, le transport des déchets de chantier vers ou plusieurs points de collecte et les coûts de traitement.                                                   N.B. : les coûts et frais prévus au présent devis sont des estimations susceptibles d'être revues en fonction de la quantité réelle et de la nature des déchets constatés en fin de chantier;;;;;;;;
;1.4 004;Evacuation des gravats, location de benne à notre atelier et traitement des déchets: BOIS B;169.3;1.482;250.89;1.35;T;;10;338.7
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;1.35;H;;10;80.19
;DECHET002;EVAC DECHETS BENNE (BOIS);98;1.3;127.4;1.35;T;;10;171.99
;DECHET008;DEPOT, ROTATION, RETRAIT camion multi-benne, L'unité;98.6;1.3;128.18;0.675;U;;10;86.52
;1.4 005;Evacuation des gravats, location et rotation de benne à notre atelier et traitement: DIB mélangés. Compris TGAP taxe générale sur les activités polluantes.;277.3;1.411;391.3;0.6;T;;10;234.78
;MO1;MAIN D'OEUVRE 1;22;2.7;59.4;0.6;H;;10;35.64
;DECHET004;EVAC DECHETS BENNES DIB;154;1.3;200.2;0.6;T;;10;120.12
;DECHET007;TGAP taxe générale sur les activités polluantes;52;1.3;67.6;0.6;T;;10;40.56
;DECHET008;DEPOT, ROTATION, RETRAIT camion multi-benne, L'unité;98.6;1.3;128.18;0.3;U;;10;38.45
;;;;;;;;;;
;;Sous total :;;;;;;;;6138.72
