Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;M. Herve DUPONCEL;;M. Herve DUPONCEL;;;;;;Numéro;25358
;45 rue de la Gressaudière;;45 rue de la Gressaudière;;;;;;Date de création;12/01/2025
;35170 Bruz;;35170 Bruz;;;;;;Date de validité;11/02/2025
;;;;;;;;;;
;Isolation de toiture par l'extérieur;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;;Date de première visite le 30/07/2024;;;;;;;;
;;Métrés à confirmer;;;;;;;;
;;;;;;;;;;
;;"Devis comprenant

Toiture
Dépose de la couverture ardoises sur la maison (non compris garage)
Isolation des rampants et de la lucarne jusqu'au comble perdu, compris 
Couverture neuve
Changement des vélux côté Nord
Dépose et repose du vélux côté Sud

";;;;;;;;
;;;;;;;;;;
;;Composition des complexes: voir plan de principe joint.;;;;;;;;
;;;;;;;;;;
;1x;OUVRAGES COMMUNS;;;;;;;;
;;;;;;;;;;
;1.2 002;Montage et démontage d'échafaudage pour temps du chantier. Compris toute sujétions de sécurité;1059.7;1.3;1377.61;1;F;;5.5;1377.61
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;21;H;;5.5;1247.61
;MAT001;Echafaudage COMABI R200;100;1.3;130;1;F;;5.5;130
;1.6 002;Installation et repliement en couverture de bâche de couvreur.;624.78;1.3;812.21;1;F;;5.5;812.21
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;12;H;;5.5;712.92
;B2506X8;BACHE COUVREUR 250G/M² 6,00X8,00ML      BLEU AVEC?OEILLETS EN LAITON;76.3776;1.3;99.29;1;UN;;5.5;99.29
;1.3 001;Dépose couverture ardoises et liteaux;9.14;1.3;11.88;92;M2;;5.5;1092.96
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;18.4;H;;5.5;1093.14
;1.3 007;Dépose Isolation (murs et toiture);4.57;1.3;5.94;39;M2;;5.5;231.66
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;3.9;H;;5.5;231.7
;1.3 016;Dépose Fenêtre de toit;45.7;1.3;59.41;3;U;;5.5;178.23
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;3;H;;5.5;178.23
;1.6 001;Nettoyage en fin de chantier comprenant le ramassage et la sortie des déchets et emballages;182.8;1.3;237.64;1;F;;5.5;237.64
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;4;H;;5.5;237.64
;;;;;;;;;;
;;Sous total :;;;;;;;;3930.31
;;;;;;;;;;
;;;;;;;;;;
;5x;ISOLATION TOITURE EN RAMPANT PAR L'EXTERIEUR;;;;;;;;
;;;;;;;;;;
;;R = 6.65  +1.3 = 7.95;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;5.1 005;"Frein-vapeur Proclima DASATOP. Pose par l'extérieur pour rénovation. Adhésifs PROCLIMA TESCON VANA.
Raccord de frein-vapeur sur le comble à confirmer";33.56;1.3;43.63;39;M2;;5.5;1701.57
;MO1;"MAIN D'OEUVRE 
";45.7;1.3;59.41;23.4;H;;5.5;1390.19
