Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
;SARL IMAGINE & CO;;SARL IMAGINE & CO;;;;;;Numéro;25448
;40, rue Paul Féval;;40, rue Paul Féval;;;;;;Date de création;26/06/2025
;35000 RENNES;;35000 RENNES;;;;;;Date de validité;25/07/2025
;;;;;;;;;;
;Devis zinc quartz;;;;;;;;;
;;;;;;;;;;
;Référence;Libellé;Prix Achat;Coef;Prix Unitaire;Quantité;U;% rem;% tva;PrixTotal
;;Le présent devis annule et remplace les devis 25386 et 25396 précédemment émis et signés.;;;;;;;;
;;Non compris gestion du hors d'eau provisoire;;;;;;;;
;;;;;;;;;;
;1x;OUVRAGES COMMUNS;;;;;;;;
;;;;;;;;;;
;1.1 002;PLANS D'EXECUTION;548.4;1.3;712.92;1;F;;20;712.92
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;12;H;;20;712.92
;1.2 002;Montage et démontage d'échafaudage pour temps du chantier. Compris toute sujétions de sécurité;648.4;1.292;837.92;1;F;;20;837.92
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;12;H;;20;712.92
;MAT001;Echafaudage COMABI R200;100;1.25;125;1;F;;20;125
;;;;;;;;;;
;;Sous total :;;;;;;;;1550.84
;;;;;;;;;;
;3x;COUVERTURE;;;;;;;;
;;;;;;;;;;
;;Toiture principale et garage;;;;;;;;
;;;;;;;;;;
;3.1 003;Gouttières 1/2 ronde 25 Zinc quartz. Dvp 25.;37.94;1.257;47.7;11.5;ML;;20;548.55
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;3.45;H;;20;204.96
;UMI220007938;GOUTTIERE 1/2 RONDE 25 ANTHRA 4M00      -5% PAR 20 U;46.2115;1.23;56.84;3.45;UN;;20;196.1
;20330030;CROCHET VADOT DOS PLAT DE 25 ANTHRA                                             QSFVE25/CA01;2.0745;1.229;2.55;36.8;UN;;20;93.84
;Q002;Forfait soudure;1.5;1.253;1.88;23;F;;20;43.24
;Q001;Forfait Quincaillerie;1.45;1.248;1.81;5.75;F;;20;10.41
;3.1 020;Descente EP tuyaux cylindriques zinc quartz D=80;34.46;1.253;43.17;5.5;ML;;20;237.44
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;1.1;H;;20;65.35
;UMI220019915;TUYAU CYLINDRIQUE SOUDE ANTHRA  D 80X 2MEP 0,65                                 -5% PAR 20 U;25.7876;1.23;31.72;3.85;UN;;20;122.12
;20360008;COLLIER  D 80 TARAUDE ANTHRA DESCENTE    CARTON DE 25U                          REF QSFCF5180/CA;2.3275;1.25;2.91;13.75;UN;;20;40.01
;Q001;Forfait Quincaillerie;1.45;1.248;1.81;5.5;F;;20;9.96
;3.1 027;Boite à eau zinc quartz. Compris coude, soudure et raccordements.;87.99;1.263;111.15;1;U;;20;111.15
;MO1;MAIN D'OEUVRE 1;45.7;1.3;59.41;0.5;H;;20;29.71
;UMI220020694;BOITE A EAU 220 X 220 DIAM 80 ANTHRA;56.9844;1.25;71.23;1;UN;;20;71.23
;UMI220019915;TUYAU CYLINDRIQUE SOUDE ANTHRA  D 80X 2MEP 0,65                                 -5% PAR 20 U;25.7876;1.25;32.23;0.2;UN;;20;6.45
;Q002;Forfait soudure;1.5;1.253;1.88;2;F;;20;3.76
